stn,habitat,alotanypus,ceratopogonidae,chironomus,cricotopus_trifsciatus,cryptochironomus,halocladius,monodimesa,polypedilum,psectrocladius_sordidellus,ephemera,electrogena,serratella,Hydropsychae,polyplectropus,metrichia,staphilinidae,limnichidae,hydrophilidae,dugesidae,tabanidae,ephydridae,psychodidae,dolichopodidae,simulidae,muscidae,,
FR1,Rapid,0,0,0,67,0,0,0,256,0,0,0,0,1589,0,0,0,100,78,0,0,0,0,0,11,0,,
FR2,Rapid,11,0,56,0,0,0,0,144,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,,
FR3,Rapid,67,0,11,0,0,0,0,0,0,0,0,0,756,0,0,0,56,11,0,0,0,0,0,0,0,,
FR4,Rapid,0,0,3456,0,0,89,0,0,0,0,0,0,200,0,0,0,0,0,211,0,0,0,0,0,0,,
FR5,Rapid,11,0,1856,533,0,0,0,367,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,78,0,,
FR6,Rapid,0,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FR7,Rapid,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FR8,Rapid,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,,
FR9,Rapid,0,0,0,167,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CR1,Rapid,0,0,0,0,0,333,0,0,0,11,0,0,178,0,0,0,144,11,0,0,0,0,0,11,0,,
CR2,Rapid,0,0,0,0,0,156,0,0,0,33,33,0,389,0,0,0,422,0,0,0,0,0,0,0,0,,
CR3,Rapid,0,0,0,100,0,756,0,0,0,11,0,0,1533,0,0,0,767,11,0,0,0,0,0,0,0,,
CR4,Rapid,0,0,0,1144,0,422,0,0,1433,11,22,22,4411,0,0,0,0,0,0,0,0,0,0,0,0,,
CR5,Rapid,0,0,0,267,0,378,0,0,0,0,0,44,5656,33,0,0,0,0,0,0,0,0,0,0,0,,
CR6,Rapid,0,0,0,644,0,0,0,0,511,33,11,400,2700,0,0,0,11,11,0,0,0,0,0,0,0,,
CR7,Rapid,244,0,0,922,0,0,0,0,67,0,33,0,500,0,244,0,0,0,0,0,0,0,0,0,0,,
CR8,Rapid,0,0,0,933,0,56,0,0,0,0,133,0,0,0,33,0,0,0,44,0,0,0,0,0,0,,
CR9,Rapid,0,0,0,200,0,0,0,0,200,0,11,22,0,0,422,0,0,0,0,0,0,0,0,0,0,,
BR1,Rapid,56,0,0,0,0,56,0,0,0,0,0,0,856,156,0,0,0,0,0,0,0,0,0,56,0,,
BR2,Rapid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,,
BR3,Rapid,67,0,0,0,0,0,0,133,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,78,0,,
BR4,Rapid,0,0,0,0,0,111,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,33,0,,
BR5,Rapid,0,0,0,11,0,56,0,0,0,0,0,0,667,133,44,0,0,0,0,0,0,0,0,100,0,,
BR6,Rapid,0,0,0,0,0,156,0,0,0,0,0,0,3000,0,0,22,0,0,0,0,0,0,0,311,0,,
BR7,Rapid,0,0,0,56,0,0,0,67,0,11,0,0,1167,111,0,0,0,0,0,0,0,0,0,78,0,,
BR8,Rapid,0,0,0,622,0,0,0,0,0,0,0,0,1067,0,0,0,0,0,0,0,0,0,0,22,0,,
BR9,Rapid,0,0,0,2267,11,133,0,0,0,33,22,1089,1044,133,0,0,0,0,0,0,0,0,0,0,0,,
JR1,Rapid,0,0,0,422,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,11,0,0,0,0,0,,
JR2,Rapid,0,0,0,33,0,33,0,100,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,22,11,,
JR3,Rapid,0,0,0,3511,0,67,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,11,0,,
JR5,Rapid,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,,
JR6,Rapid,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,,
JR7,Rapid,0,0,0,0,0,67,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,,
JR8,Rapid,0,0,0,0,0,189,0,11,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,,
JR9,Rapid,0,0,0,0,0,44,0,0,0,0,0,0,0,0,11,0,0,0,11,0,11,0,0,0,0,,
WR1,Rapid,0,0,0,122,0,0,0,0,267,0,0,22,644,0,0,0,0,0,0,0,0,0,0,0,0,,
WR2,Rapid,0,0,0,0,0,22,0,356,0,0,0,0,11,0,11,0,0,33,0,0,0,0,11,0,67,,
WR3,Rapid,0,0,0,67,0,44,0,0,133,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,,
WR4,Rapid,0,0,0,0,0,89,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WR6,Rapid,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,,
FP4,Pool,0,0,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FP5,Pool,0,0,9500,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FP6,Pool,0,533,31067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FP9,Pool,0,0,0,0,1500,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CP1,Pool,0,50,8450,0,0,0,0,0,0,850,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,,
CP2,Pool,0,0,0,0,0,0,100,2000,0,2350,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,,
CP3,Pool,0,0,0,0,0,0,0,0,0,10900,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,
CP4,Pool,0,0,17067,0,0,0,67,5200,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CP5,Pool,0,50,2900,0,0,0,0,1100,0,2250,0,200,0,0,0,0,0,50,0,0,0,0,0,0,0,,
CP6,Pool,0,0,9300,0,0,0,0,6900,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,
CP7,Pool,0,0,0,0,2600,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CP8,Pool,0,0,0,0,0,0,0,2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CP9,Pool,0,0,200,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
BP1,Pool,0,0,0,0,267,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
BP3,Pool,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
BP6,Pool,0,0,0,0,1067,0,200,1333,0,2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
BP7,Pool,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
BP8,Pool,0,0,50,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
BP9,Pool,0,0,300,0,2800,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
JP1,Pool,0,0,0,400,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
JP2,Pool,0,0,0,100,100,0,0,2500,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,,
JP3,Pool,0,0,0,0,0,100,0,500,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,,
JP8,Pool,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
JP9,Pool,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WP1,Pool,0,0,0,0,100,100,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WP2,Pool,0,0,0,100,100,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WP4,Pool,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WP5,Pool,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FB1,Bench,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,16,0,128,0,0,0,0,0,0,0,,
FB2,Bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,16,0,0,0,,
FB3,Bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,16,16,0,0,0,0,,
FB4,Bench,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,16,0,16,,
FB5,Bench,0,0,80,0,0,32,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,48,64,0,48,,
FB6,Bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,16,0,0,64,0,80,0,0,,
FB8,Bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,,
FB9,Bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,32,0,384,0,0,0,0,0,,
CB1,Bench,0,48,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,16,0,0,208,16,0,0,0,,
CB2,Bench,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,32,0,0,0,0,432,0,0,,
CB3,Bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,,
CB4,Bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,16,32,0,0,,
CB5,Bench,0,0,64,21,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,,
CB6,Bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,21,0,85,0,128,,
CB7,Bench,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,,
CB8,Bench,0,32,0,0,0,64,0,0,0,0,0,0,1760,0,0,0,0,0,0,0,0,32,0,0,0,,
BB1,Bench,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,,
BB2,Bench,0,64,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,,
BB3,Bench,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,64,,
BB4,Bench,0,32,0,32,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,,
BB5,Bench,0,32,0,160,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,128,16,0,656,0,0,,
BB6,Bench,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,192,80,16,0,0,,
BB8,Bench,0,0,0,448,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
BB9,Bench,0,16,0,304,16,96,0,0,0,0,0,0,0,0,0,0,0,32,0,32,0,96,0,0,0,,
JB1,Bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,48,0,112,,
JB8,Bench,0,0,32,0,96,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
JB9,Bench,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WB1,Bench,0,0,0,16,80,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WB3,Bench,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
